code,system
1ABB.00,readv2
1ABC.00,readv2
1D1B.00,readv2
E227311,readv2
102274.0,med
103966.0,med
106360.0,med
12066.0,med
12790.0,med
12867.0,med
17639.0,med
17894.0,med
3838.0,med
710.0,med
94343.0,med
94821.0,med
7A6G000,readv2
E227300,readv2
Eu52213,readv2
K27y100,readv2
Z9E9.00,readv2
ZG43600,readv2
7A6G500,readv2
7C25B00,readv2
7C25E00,readv2
7C25F00,readv2
8BB4.00,readv2
8HTj.00,readv2
Eu52200,readv2
Eu52212,readv2
K27y700,readv2
33494.0,med
20833.0,med
37391.0,med
40725.0,med
41382.0,med
81439.0,med
92310.0,med
F52.2,icd10
N48.4,icd10